,LSAT,UGPA,region_first,sander_index,first_pf,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White,female,male,ZFYA,Knowledge,Init_class,Fair_pred,Fair_pred_class,full_pred,full_pred_class,unaware_pred,unaware_pred_class
6068,42,2.9,NG,0.80119047619,1.0,0,0,0,0,0,0,0,1,0,1,0.15,0.6676649551840774,1.0,-0.031072573734250528,-1.0,0.28596637207964193,1.0,0.23395543849255995,1.0
1579,35,3.8,MS,0.799404761905,1.0,0,0,0,0,0,0,0,1,0,1,1.79,-1.1736577555492795,1.0,0.3268581469906168,1.0,0.26973587290917367,1.0,0.1865900058982053,1.0
2968,43,3.0,MS,0.823214285714,1.0,0,0,0,0,0,0,0,1,1,0,-1.38,1.0510731831902336,-1.0,-0.10560246606769745,-1.0,0.3111636201578518,1.0,0.30565657433712,1.0
8552,30,3.2,NE,0.686011904762,1.0,0,0,0,0,0,0,0,1,0,1,-0.15,-0.16567998244279683,-1.0,0.13091953791379876,1.0,-0.02376593581259767,-1.0,-0.20032458071944204,-1.0
16331,31,3.3,SE,0.701785714286,1.0,0,0,0,0,0,0,1,0,0,1,-0.77,-0.6916954344159731,-1.0,0.23317053864261145,1.0,-0.5690855460083906,-1.0,-0.12862344487488242,-1.0
485,42,3.6,FW,0.867857142857,1.0,0,0,0,0,0,0,0,1,0,1,-0.92,-1.1561822691798227,-1.0,0.32346112516778486,1.0,0.44474247732562366,1.0,0.4328177902564945,1.0
8116,48,3.6,FW,0.942857142857,1.0,0,0,0,0,0,0,0,1,1,0,1.71,-0.7791563430375161,1.0,0.2501718746255324,1.0,0.6046654288796227,1.0,0.6925711609547673,1.0
967,36,3.2,GL,0.754761904762,1.0,0,0,0,0,0,0,0,1,0,1,-0.05,-0.07677240135684579,-1.0,0.1136369864139996,1.0,0.1651236692576612,1.0,0.05942878997883083,1.0
11506,30,3.1,NE,0.670238095238,1.0,0,0,1,0,0,0,0,0,0,1,0.97,-0.7617106836462213,1.0,0.24678065080417427,1.0,-0.7216070955362428,-1.0,-0.22873348811428995,-1.0
7542,34,3.1,FW,0.720238095238,1.0,0,0,0,0,0,0,0,1,1,0,0.65,0.6314721798626999,1.0,-0.02403713878289733,-1.0,0.05051151330188963,1.0,-0.05556457431544137,-1.0
1947,34,3.1,GL,0.720238095238,1.0,0,0,0,0,0,0,0,1,1,0,1.35,0.2664779996709349,1.0,0.046913286807839315,1.0,0.05051151330188963,1.0,-0.05556457431544137,-1.0
11052,37,2.5,MW,0.700595238095,1.0,0,0,0,0,0,0,0,1,0,1,-0.56,1.2129671207134343,-1.0,-0.13707267680310242,-1.0,0.037829164856722386,1.0,-0.09614133333539154,-1.0
2225,40,2.4,Mt,0.728571428571,1.0,0,0,0,0,0,0,0,1,1,0,-0.31,2.166624390155554,-1.0,-0.3224520412057593,-1.0,0.08062501312616677,1.0,0.005326444618896975,1.0
21009,38,3.5,FW,0.808333333333,1.0,0,1,0,0,0,0,0,0,0,1,0.12,-0.9451532184000813,1.0,0.28243964653224785,1.0,-0.1708380176044817,-1.0,0.23123996906279842,1.0
11699,42,3.5,Mt,0.858333333333,1.0,0,0,0,0,0,0,0,1,1,0,1.31,-0.15203742550002403,1.0,0.12826759091363826,1.0,0.3930935230599384,1.0,0.40440888286164656,1.0
11276,39,3.4,GL,0.81130952381,1.0,0,0,0,0,0,0,0,1,1,0,0.31,-0.331409093182781,1.0,0.1631352596373571,1.0,0.27596641977538283,1.0,0.24612329011766265,1.0
14888,40,3.3,NE,0.814285714286,1.0,0,0,0,0,0,0,0,1,0,1,-0.17,-0.11009182285974024,-1.0,0.12011387636009535,1.0,0.31373237338725923,1.0,0.2610066111725269,1.0
5748,34,3.1,Mt,0.720238095238,1.0,0,0,0,0,0,0,0,1,0,1,-0.15,0.3618385721868528,-1.0,0.028376352325689636,1.0,0.07947816681814901,1.0,-0.05556457431544137,-1.0
20722,41,2.7,MS,0.769642857143,0.0,0,1,0,0,0,0,0,0,0,1,-1.57,0.7714716849865643,-1.0,-0.05125133837866065,-1.0,-0.2578516210647597,-1.0,0.13384539525315242,1.0
10037,34,3.2,GL,0.729761904762,0.0,0,0,0,0,0,0,0,1,1,0,-0.08,0.26857643060978265,-1.0,0.046505377377322375,1.0,0.07319381405131553,1.0,-0.027155666920593458,-1.0
8628,33,3.6,NE,0.755357142857,1.0,0,0,0,0,0,0,0,1,0,1,0.3,-0.8739343269284865,1.0,0.2685955609707868,1.0,0.16140806972023558,1.0,0.043187734209085615,1.0
3204,26,3.2,GL,0.636011904762,1.0,0,0,0,0,0,0,0,1,0,1,-0.58,-0.07810432452840113,-1.0,0.11389589606517915,1.0,-0.1496923391927698,-1.0,-0.3734934945182906,-1.0
2549,45,3.5,NG,0.895833333333,1.0,0,0,0,0,0,0,0,1,0,1,-0.11,-0.8012910528320504,-1.0,0.25447459276592727,1.0,0.516504979111327,1.0,0.534285568210783,1.0
7395,42,2.9,GL,0.80119047619,1.0,0,0,0,0,0,0,0,1,1,0,-0.26,1.0344203778059593,-1.0,-0.10236536341396964,-1.0,0.25699971856338255,1.0,0.23395543849255995,1.0
3886,24,3.1,SE,0.595238095238,1.0,0,0,1,0,0,0,0,0,0,1,-0.91,-0.20286565124692466,-1.0,0.1381479792718031,1.0,-0.9104967006065015,-1.0,-0.4884868588125628,-1.0
12245,47,3.2,SC,0.892261904762,1.0,0,0,0,0,0,0,0,1,0,1,-0.77,-0.10673085051610182,-1.0,0.11946054424928045,1.0,0.5114212785531351,1.0,0.5356433029256644,1.0
12301,40,3.2,SC,0.804761904762,1.0,0,0,0,0,0,0,0,1,0,1,1.58,-0.3089376060662188,1.0,0.15876707608511748,1.0,0.2910500726378338,1.0,0.2325977037776794,1.0
12672,32,3.2,SC,0.704761904762,0.0,0,0,0,0,0,0,0,1,0,1,-0.65,-0.08163490591243901,-1.0,0.1145821981088134,1.0,0.03919726587748862,1.0,-0.11374012382001775,-1.0
14822,46,3.5,FW,0.908333333333,1.0,0,0,0,0,0,0,0,1,1,0,0.89,-0.555677440343614,1.0,0.2067302963287152,1.0,0.5190199264401105,1.0,0.5775777966604951,1.0
15605,48,3.6,SE,0.942857142857,1.0,0,0,0,0,0,0,0,1,1,0,0.44,-0.9802796649547382,1.0,0.2892678001516666,1.0,0.6046654288796227,1.0,0.6925711609547673,1.0
11124,39,3.6,GL,0.830357142857,1.0,0,0,0,0,0,0,0,1,1,0,-1.38,-0.6290026380019321,-1.0,0.2209838221730156,1.0,0.32133102127423463,1.0,0.3029411049073585,1.0
12586,41,3.1,MW,0.807738095238,1.0,0,0,0,0,0,0,0,1,0,1,1.34,0.23311676480595048,1.0,0.053398304762535376,1.0,0.2998493727334508,1.0,0.24748102483254364,1.0
7289,29,3.5,FW,0.695833333333,0.0,0,0,0,0,0,0,0,1,0,1,-0.71,-0.8633104657220007,-1.0,0.2665304116754718,1.0,0.012799365590637102,1.0,-0.15839008698461088,-1.0
18832,42,3.3,MS,0.839285714286,1.0,0,0,0,0,0,0,0,1,1,0,0.77,-0.3962071099324704,1.0,0.17573120531356123,1.0,0.34772892156108615,1.0,0.34759106807195117,1.0
4779,42,3.1,MW,0.820238095238,1.0,0,0,0,0,0,0,0,1,0,1,1.4,0.22278928928805677,1.0,0.05540584028786209,1.0,0.3313309735784937,1.0,0.2907732532822558,1.0
13496,40,2.7,MS,0.757142857143,1.0,0,0,0,0,0,0,0,1,1,0,1.05,1.259430733183627,1.0,-0.1461046374702868,-1.0,0.14867191537444446,1.0,0.09055316680344028,1.0
601,30,2.8,NE,0.641666666667,0.0,0,1,0,0,0,0,0,0,0,1,-0.69,0.9355360930268918,-1.0,-0.08314346216166925,-1.0,-0.5814669296108084,-1.0,-0.31396021029883325,-1.0
19629,39,3.3,FW,0.801785714286,1.0,0,0,0,0,0,0,0,1,1,0,-1.03,0.22806344588121896,-1.0,0.05438060844794497,1.0,0.25328411902595693,1.0,0.21771438272281474,1.0
2167,34,3.3,MS,0.739285714286,1.0,0,0,0,0,0,0,0,1,0,1,0.62,-0.07089724175372215,1.0,0.11249492690489696,1.0,0.12484276831700081,1.0,0.0012532404742540137,1.0
10224,36,2.8,FW,0.716666666667,1.0,0,0,0,0,0,1,0,0,1,0,-0.24,1.2077399361674945,-1.0,-0.13605657575737917,-1.0,-0.12668656937604705,-1.0,-0.054206839600560386,-1.0
19423,40,3.7,NE,0.852380952381,1.0,0,0,0,0,0,0,0,1,0,1,-0.7,-0.8736177251757895,-1.0,0.2685340174440248,1.0,0.4044615763849633,1.0,0.3746422407519181,1.0
6366,36,3.6,MS,0.792857142857,1.0,0,0,0,0,0,0,0,1,1,0,1.27,-0.42690518461194116,1.0,0.18169853734658253,1.0,0.22688621873910586,1.0,0.17306441955822205,1.0
8248,37,3.4,MS,0.79255952381,1.0,0,0,0,0,0,0,0,1,0,1,-0.08,-0.2420569836443244,-1.0,0.14576629721759232,1.0,0.24196987160155592,1.0,0.15953883321823836,1.0
21671,37,3.2,FW,0.767261904762,1.0,0,0,0,0,0,0,0,1,0,1,0.14,-0.22629734739024904,1.0,0.1427028157703145,1.0,0.19660527010270412,1.0,0.10272101842854298,1.0
16460,43,3.6,NG,0.880357142857,1.0,0,0,0,0,0,0,0,1,0,1,-1.31,-0.6041793248556929,-1.0,0.21615847226915558,1.0,0.4762240781706666,1.0,0.4761100187062066,1.0
2624,31,3.7,Mt,0.739880952381,1.0,0,0,0,0,0,0,0,1,0,1,0.57,-0.513894414142039,1.0,0.19860818465583013,1.0,0.12112716877957519,1.0,-0.014987815295491203,-1.0
6377,32,3.2,MS,0.704761904762,0.0,0,0,0,1,0,0,0,0,0,1,-1.5,0.07615056455081949,-1.0,0.08391062335789255,1.0,-0.3458168306773437,-1.0,-0.11374012382001775,-1.0
18290,45,3.5,NE,0.895833333333,1.0,0,0,0,0,0,0,0,1,1,0,0.0,-0.036582823648107304,0.0,0.10582462173122893,1.0,0.4875383255950676,1.0,0.534285568210783,1.0
741,44,3.7,NE,0.902380952381,1.0,0,0,0,0,0,0,0,1,0,1,0.77,-1.1483010565703438,1.0,0.32192911337373425,1.0,0.5303879797651354,1.0,0.5478111545507667,1.0
411,34,2.6,NE,0.672619047619,1.0,0,1,0,0,0,0,0,0,0,1,-0.3,1.1552632598427062,-1.0,-0.12585574867330102,-1.0,-0.5009051277294876,-1.0,-0.19760911128968006,-1.0
14795,46,3.7,NE,0.927380952381,1.0,0,0,0,0,0,0,0,1,1,0,0.2,-1.1336395969572404,1.0,0.3190791040974643,1.0,0.5643845279389623,1.0,0.634395611450191,1.0
15119,29,3.0,NE,0.654464285714,1.0,0,0,0,0,0,0,0,1,0,1,0.05,0.4099495157895404,1.0,0.019024170539149385,1.0,-0.10061213815649239,-1.0,-0.30043462395885,-1.0
14801,44,3.7,MS,0.902380952381,1.0,0,0,0,0,0,0,0,1,1,0,-0.5,-0.6104926945438788,-1.0,0.21738571448450572,1.0,0.501421326248876,1.0,0.5478111545507667,1.0
15722,37,3.4,SE,0.78630952381,1.0,0,0,0,0,0,0,0,1,0,1,0.32,-0.32775853826862084,1.0,0.16242563619989311,1.0,0.24196987160155592,1.0,0.15953883321823836,1.0
20253,38,3.7,NE,0.827380952381,1.0,0,1,0,0,0,0,0,0,1,0,-0.51,-0.9801405433657523,-1.0,0.2892407566082813,1.0,-0.15444006962188905,-1.0,0.2880577838524938,1.0
5047,37,2.9,SE,0.73869047619,1.0,0,0,0,0,0,0,0,1,0,1,0.39,0.28243010861484114,1.0,0.04381239101260964,1.0,0.12855836785442643,1.0,0.017494296243999674,1.0
14386,37,3.4,NE,0.78630952381,1.0,0,0,0,0,0,0,0,1,1,0,0.43,0.03799000520562798,1.0,0.09132857156983225,1.0,0.21300321808529654,1.0,0.15953883321823836,1.0
13967,35,3.8,GL,0.799404761905,1.0,0,0,0,0,0,0,0,1,0,1,0.19,-1.2634096487693887,1.0,0.3443048224915671,1.0,0.26973587290917367,1.0,0.1865900058982053,1.0
2760,42,3.8,Mt,0.886904761905,1.0,0,0,0,0,0,0,0,1,1,0,0.57,-0.9906955880278177,1.0,0.29129252880505796,1.0,0.4611404253082161,1.0,0.48963560504618986,1.0
13343,36,3.5,GL,0.783333333333,1.0,0,0,0,0,0,0,0,1,0,1,-1.12,-0.632532946982388,-1.0,0.22167007126470947,1.0,0.2331705715059389,1.0,0.14465551216337413,1.0
5597,36,2.7,SC,0.707142857143,1.0,0,0,0,0,0,0,0,1,0,1,0.29,1.0369037139741542,1.0,-0.10284809373565786,-1.0,0.051712165510531705,1.0,-0.0826157469954083,-1.0
15107,32,3.2,NE,0.704761904762,1.0,0,0,0,0,0,0,0,1,0,1,-0.24,0.1672574718414139,-1.0,0.066200549616094,1.0,0.03919726587748862,1.0,-0.11374012382001775,-1.0
4193,31,3.4,SE,0.71130952381,1.0,0,0,0,0,0,0,0,1,0,1,-0.7,-0.5144106395505875,-1.0,0.19870853259129045,1.0,0.05308026653129749,1.0,-0.1002145374800345,-1.0
9226,37,3.0,FW,0.748214285714,1.0,0,0,0,0,1,0,0,0,1,0,0.55,0.13252666392970666,1.0,0.07295179589939392,1.0,-0.3935032591922256,-1.0,0.045903203638847145,1.0
4560,42,3.5,MW,0.858333333333,1.0,0,0,0,0,0,0,0,1,0,1,0.79,-0.4459478217979253,1.0,0.1854001942113734,1.0,0.42206017657619777,1.0,0.40440888286164656,1.0
3105,30,3.7,MW,0.733630952381,1.0,0,0,0,0,0,0,0,1,1,0,-0.39,-0.530554123130223,-1.0,0.20184662928612113,1.0,0.06067891441827289,1.0,-0.05828004374520335,-1.0
4307,45,3.9,NE,0.940178571429,1.0,0,0,0,0,0,0,0,1,0,1,0.55,-1.2330916974640602,1.0,0.3384113818152743,1.0,0.6072341821090306,1.0,0.6479211977901742,1.0
4740,28,2.5,GL,0.588095238095,1.0,0,0,1,0,0,0,0,0,0,1,-1.17,0.5952883048847317,-1.0,-0.017003433949959915,-1.0,-0.9206641017228847,-1.0,-0.48577138938280084,-1.0
9423,35,3.3,GL,0.751785714286,1.0,0,0,0,0,0,0,0,1,0,1,0.91,-0.1852798892069305,1.0,0.13472952120099368,1.0,0.15632436916204417,1.0,0.04454546892396616,1.0
19910,36,2.9,SC,0.72619047619,1.0,0,0,0,0,0,0,0,1,1,0,0.17,0.7330431756891901,1.0,-0.04378130395774525,-1.0,0.06811011349312412,1.0,-0.02579793220571247,-1.0
18402,41,2.3,MS,0.731547619048,1.0,0,0,0,0,0,0,0,1,0,1,0.12,1.8606310129105659,1.0,-0.26297065349685855,-1.0,0.11839096673804317,1.0,0.020209765673761204,1.0
13644,48,3.4,FW,0.92380952381,1.0,0,0,0,0,0,0,0,1,1,0,-0.2,-0.27342279822864257,-1.0,0.15186342975978323,1.0,0.5593008273807709,1.0,0.6357533461650715,1.0
8443,36,3.1,FW,0.745238095238,1.0,0,0,0,0,0,0,0,1,1,0,0.24,0.19802697379140288,1.0,0.06021933299116117,1.0,0.11347471499197592,1.0,0.031019882583982916,1.0
4168,37,2.6,SE,0.710119047619,1.0,0,0,0,0,0,0,0,1,0,1,-0.48,1.450696809063102,-1.0,-0.18328443435797714,-1.0,0.060511465606148285,1.0,-0.06773242594054363,-1.0
8729,39,2.9,NE,0.76369047619,1.0,0,0,0,0,0,0,0,1,0,1,1.21,0.46326282468196034,1.0,0.00866071226817025,1.0,0.19152156954451272,1.0,0.10407875314342396,1.0
20434,38,3.3,SE,0.789285714286,1.0,0,1,0,0,0,0,0,0,1,0,0.78,-0.3118397164458553,1.0,0.15933121101581232,1.0,-0.24516927261959287,-1.0,0.1744221542731026,1.0
2078,35,2.8,SE,0.704166666667,1.0,0,0,0,0,0,0,0,1,0,1,-0.27,1.019061653102042,-1.0,-0.09937981429178537,-1.0,0.042912865414914236,1.0,-0.09749906805027253,-1.0
6779,42,3.9,GL,0.896428571429,1.0,0,0,0,0,0,0,0,1,1,0,2.15,-1.6710380022940956,1.0,0.4235428123965955,1.0,0.483822726057642,1.0,0.5180445124410378,1.0
3882,37,3.5,SE,0.795833333333,1.0,0,0,0,0,0,0,0,1,1,0,2.29,-0.31847017286425156,1.0,0.1606200910316495,1.0,0.23568551883472244,1.0,0.18794774061308628,1.0
13433,30,3.0,SE,0.666964285714,0.0,0,0,0,1,0,0,0,0,0,1,-1.52,0.1496742133146011,-1.0,0.069618521034416,1.0,-0.454144633866282,-1.0,-0.25714239550913787,-1.0
7748,43,3.0,NE,0.823214285714,1.0,0,0,0,0,0,0,0,1,0,1,0.03,0.39178211712351774,1.0,0.022555691689852858,1.0,0.3401302736741112,1.0,0.30565657433712,1.0
18718,42,3.7,NE,0.877380952381,1.0,0,0,0,0,0,0,0,1,1,0,0.34,-0.7118675093852436,1.0,0.23709174446393722,1.0,0.4384581245587902,1.0,0.4612266976513424,1.0
9757,37,3.4,NE,0.79255952381,1.0,0,0,0,0,0,0,0,1,0,1,0.95,-0.6380935113064368,1.0,0.22275097728109758,1.0,0.24196987160155592,1.0,0.15953883321823836,1.0
10346,30,3.9,FW,0.746428571429,1.0,0,0,0,0,0,0,0,1,1,0,-0.93,-0.8124123063776166,-1.0,0.2566364290772511,1.0,0.10604351591712469,1.0,-0.0014622289555075163,-1.0
2522,45,3.5,NG,0.895833333333,1.0,0,0,0,0,0,0,0,1,0,1,0.56,-0.9663040597958782,1.0,0.2865511126324622,1.0,0.516504979111327,1.0,0.534285568210783,1.0
16734,37,3.4,MS,0.78630952381,1.0,0,0,0,0,0,0,0,1,1,0,-1.18,-0.2964483452697507,-1.0,0.15633931581683716,1.0,0.21300321808529654,1.0,0.15953883321823836,1.0
21439,42,3.3,NE,0.839285714286,1.0,0,0,0,0,0,0,0,1,1,0,-0.43,0.0648802409092795,-1.0,0.08610143708125789,1.0,0.34772892156108615,1.0,0.34759106807195117,1.0
19094,36,3.4,SE,0.77380952381,1.0,0,0,0,0,0,0,0,1,1,0,-0.23,0.2157394728336233,-1.0,0.05677623878987612,1.0,0.18152161724025362,1.0,0.11624660476852622,1.0
17111,35,3.0,SC,0.729464285714,1.0,0,0,0,0,0,0,0,1,1,0,-0.77,1.0821230439475513,-1.0,-0.11163818103199459,-1.0,0.059310813397506656,1.0,-0.040681253260577144,-1.0
7881,43,3.8,GL,0.899404761905,1.0,0,0,0,0,0,0,0,1,0,1,1.76,-1.3949249814907745,1.0,0.36986980224929145,1.0,0.5215886796695184,1.0,0.532927833495902,1.0
20710,45,2.6,Mt,0.810119047619,1.0,0,0,0,0,0,0,0,1,0,1,1.04,0.8400767788562412,1.0,-0.06458733350381209,-1.0,0.31236427236649345,1.0,0.2786054016571531,1.0
15820,36,4.0,MS,0.830952380952,1.0,0,0,0,0,0,0,0,1,1,0,-0.3,-1.7569987518404884,-1.0,0.4402525357165974,1.0,0.31761542173680946,1.0,0.28670004913761327,1.0
10341,32,3.3,FW,0.714285714286,1.0,0,0,0,0,0,1,0,0,1,0,0.08,-0.10705869289538125,1.0,0.11952427281701908,1.0,-0.1392014690090897,-1.0,-0.08533121642517028,-1.0
15170,33,2.8,NE,0.679166666667,0.0,0,0,0,0,0,0,0,1,0,1,-1.1,0.9333411520343123,-1.0,-0.08271679235151434,-1.0,-0.020050336275172054,-1.0,-0.18408352494969682,-1.0
13473,43,3.4,MW,0.86130952381,1.0,0,0,0,0,0,0,0,1,0,1,1.85,-0.4114873012308504,1.0,0.17870148849768855,1.0,0.4308594766718148,1.0,0.41929220391651123,1.0
8214,40,3.7,Mt,0.852380952381,1.0,0,0,0,0,0,0,0,1,0,1,0.24,-1.4917143544758984,1.0,0.38868447815000606,1.0,0.4044615763849633,1.0,0.3746422407519181,1.0
12443,30,3.1,GL,0.670238095238,1.0,0,0,0,0,0,0,0,1,0,1,0.75,0.2960615144246335,1.0,0.041162611656958885,1.0,-0.04644823656202357,-1.0,-0.22873348811428995,-1.0
17637,32,3.5,FW,0.733333333333,1.0,0,0,0,0,0,0,0,1,0,1,-0.58,-0.34098188340689056,-1.0,0.1649960935282826,1.0,0.10724416812576631,1.0,-0.028513401635474445,-1.0
2154,38,2.9,SE,0.75119047619,1.0,0,0,0,0,0,0,0,1,0,1,-0.95,0.7347297215224293,-1.0,-0.04410914793756911,-1.0,0.16003996869946935,1.0,0.06078652469371182,1.0
14940,40,3.3,NE,0.814285714286,1.0,0,0,0,0,0,0,0,1,1,0,1.55,-0.2170315608370615,1.0,0.14090165965589047,1.0,0.28476571987099986,1.0,0.2610066111725269,1.0
16264,37,3.2,SE,0.767261904762,1.0,0,0,0,0,0,0,0,1,1,0,0.65,0.32381331944803954,1.0,0.035767998580423524,1.0,0.16763861658644474,1.0,0.10272101842854298,1.0
21230,45,3.3,FW,0.876785714286,1.0,0,0,0,0,0,0,0,1,0,1,0.52,0.012910766784839774,1.0,0.0962036702317112,1.0,0.47114037761247474,1.0,0.4774677534210876,1.0
16213,46,3.9,Mt,0.946428571429,1.0,0,0,0,0,0,0,0,1,0,1,-0.44,-1.2448356901485438,-1.0,0.3406942710346608,1.0,0.6387157829540739,1.0,0.6912134262398864,1.0
2298,34,3.8,GL,0.786904761905,1.0,0,0,0,0,0,0,0,1,1,0,1.36,-0.9798390256791878,1.0,0.2891821452403585,1.0,0.20928761854787137,1.0,0.14329777744849315,1.0
3168,38,3.8,MW,0.836904761905,1.0,0,0,0,0,0,0,0,1,1,0,-0.08,-1.2464388504657042,-1.0,0.3410059058852027,1.0,0.3352140219280435,1.0,0.3164666912473417,1.0
9566,38,3.2,NE,0.779761904762,1.0,0,0,0,0,0,0,0,1,1,0,-0.84,0.33693266776901104,-1.0,0.033217756967373696,1.0,0.1991202174314881,1.0,0.14601324687825512,1.0
21364,34,3.5,SE,0.758333333333,1.0,0,0,0,0,0,0,0,1,1,0,0.19,-0.10668810981767335,1.0,0.1194522359777843,1.0,0.14124071629959323,1.0,0.058071055263949845,1.0
9501,40,3.0,GL,0.785714285714,1.0,0,0,0,0,0,0,0,1,1,0,-0.08,0.448062277245773,-1.0,0.011615513654984255,1.0,0.21671881762272216,1.0,0.17577988898798358,1.0
9403,26,3.2,GL,0.629761904762,1.0,0,0,0,1,0,0,0,0,0,1,-1.86,-0.028903291466111144,-1.0,0.10433181415724482,1.0,-0.5347064357476023,-1.0,-0.3734934945182906,-1.0
12608,28,3.0,MW,0.635714285714,0.0,0,0,0,0,0,0,0,1,0,1,-1.88,0.6132654102706672,-1.0,-0.02049796440343596,-1.0,-0.13209373900153576,-1.0,-0.34372685240856216,-1.0
896,35,3.6,SE,0.780357142857,1.0,0,0,0,0,0,0,0,1,1,0,0.33,-0.10456567298207703,1.0,0.11903966009316089,1.0,0.1954046178940625,1.0,0.1297721911085099,1.0
13103,41,3.5,NG,0.845833333333,1.0,0,0,0,0,0,0,0,1,0,1,1.0,-0.7723485541175754,1.0,0.24884852333004626,1.0,0.3905785757311544,1.0,0.3611166544119344,1.0
18171,42,2.8,GL,0.791666666667,1.0,0,0,0,0,0,0,0,1,0,1,0.13,0.7560369097728148,1.0,-0.048251005963120444,-1.0,0.26328407133021603,1.0,0.20554653109771204,1.0
16177,48,3.6,FW,0.942857142857,1.0,0,0,0,0,0,0,0,1,0,1,-0.84,-0.9055077578042271,-1.0,0.27473305159273737,1.0,0.6336320823958821,1.0,0.6925711609547673,1.0
707,42,3.1,NE,0.820238095238,1.0,0,0,0,0,0,0,0,1,0,1,-0.57,0.5151598694415142,-1.0,-0.0014274414954248277,-1.0,0.3313309735784937,1.0,0.2907732532822558,1.0
15497,35,3.1,MS,0.732738095238,0.0,0,0,1,0,0,0,0,0,1,0,-0.37,-0.577116068246331,-1.0,0.2108977046226777,1.0,-0.5931657448272865,-1.0,-0.012272345865729228,-1.0
8147,41,2.9,FW,0.78869047619,1.0,0,0,0,0,1,0,0,0,1,0,0.21,0.27917589121305936,1.0,0.04444497126224511,1.0,-0.29025915656147894,-1.0,0.1906632100428478,1.0
14598,42,2.6,SC,0.772619047619,1.0,0,0,0,0,0,0,0,1,0,1,0.03,0.9769050264756154,1.0,-0.09118507924411066,-1.0,0.21791946983136423,1.0,0.14872871630801665,1.0
8059,47,3.4,FW,0.91130952381,1.0,0,0,0,0,0,0,0,1,0,1,0.32,-0.46447499866047126,1.0,0.1890016518639361,1.0,0.5567858800519869,1.0,0.5924611177153598,1.0
